#,Date ,close ,Return,Sorted Returns,,Replication,Simulated Returns,,Calculation of value at risk - Tata Steel,,,,
,,,,,,,,,,,,,
,,,,,,291,-0.010612204,,,,,,
,,,,,,292,0.007314703,,,,,,
,,,,,,293,-0.01519416,,,,,,
,,,,,,294,0.002499922,,,,,,
,,,,,,295,0.007730464,,,,,,
,,,,,,296,0.010126726,,,,,,
,,,,,,297,0.016099905,,,,,,
,,,,,,298,0.031497367,,,,,,
,,,,,,299,-0.006454355,,,,,,
,,,,,,300,-0.006620128,,,,,,
,,,,,,301,-0.02254141,,,,,,
,,,,,,302,-0.045829526,,,,,,
,,,,,,303,-0.038383361,,,,,,
,,,,,,304,-0.001635683,,,,,,
,,,,,,305,-0.007760207,,,,,,
,,,,,,306,0.019769703,,,,,,
,,,,,,307,0.008083977,,,,,,
,,,,,,308,0.003268195,,,,,,
,,,,,,309,0.000809832,,,,,,
,,,,,,310,0.001514883,,,,,,
,,,,,,311,0.003472408,,,,,,
,,,,,,312,-0.012530179,,,,,,
,,,,,,313,0.004966663,,,,,,
,,,,,,314,-0.002129001,,,,,,
,,,,,,315,0.019069112,,,,,,
,,,,,,316,-0.01921124,,,,,,
,,,,,,317,0.032504994,,,,,,
,,,,,,318,0.024686406,,,,,,
,,,,,,319,0.010091662,,,,,,
,,,,,,320,-0.014263382,,,,,,
,,,,,,321,0.017677454,,,,,,
,,,,,,322,0.004949537,,,,,,
,,,,,,323,-0.038033157,,,,,,
,,,,,,324,-0.001211636,,,,,,
,,,,,,325,0.000390044,,,,,,
,,,,,,326,0.014402651,,,,,,
,,,,,,327,0.015521717,,,,,,
,,,,,,328,-0.016348106,,,,,,
,,,,,,329,-0.001400624,,,,,,
,,,,,,330,-0.023486136,,,,,,
,,,,,,331,0.000204183,,,,,,
,,,,,,332,-0.002838812,,,,,,
,,,,,,333,0.023193398,,,,,,
,,,,,,334,0.021077612,,,,,,
,,,,,,335,0.006217718,,,,,,
,,,,,,336,-0.006532086,,,,,,
,,,,,,337,0.028093176,,,,,,
,,,,,,338,0.019335103,,,,,,
,,,,,,339,0.025812745,,,,,,
,,,,,,340,-0.015074305,,,,,,
,,,,,,341,-0.028175238,,,,,,
,,,,,,342,0.024239959,,,,,,
,,,,,,343,-0.004215659,,,,,,
,,,,,,344,0.017345103,,,,,,
,,,,,,345,0.034192866,,,,,,
,,,,,,346,0.001665199,,,,,,
,,,,,,347,0.01651523,,,,,,
,,,,,,348,-0.011793631,,,,,,
,,,,,,349,0.013335572,,,,,,
,,,,,,350,0.009600229,,,,,,
,,,,,,351,-0.023432377,,,,,,
,,,,,,352,0.011277438,,,,,,
,,,,,,353,0.001871267,,,,,,
,,,,,,354,0.010979635,,,,,,
,,,,,,355,0.001486598,,,,,,
,,,,,,356,-0.008670711,,,,,,
,,,,,,357,-0.009867676,,,,,,
,,,,,,358,0.01258378,,,,,,
,,,,,,359,-0.010481711,,,,,,
,,,,,,360,-0.007088363,,,,,,
,,,,,,361,-0.013423336,,,,,,
,,,,,,362,-0.025926411,,,,,,
,,,,,,363,-0.001101519,,,,,,
,,,,,,364,-0.002694755,,,,,,
,,,,,,365,-0.018782421,,,,,,
,,,,,,366,-0.005088686,,,,,,
,,,,,,367,-0.006795017,,,,,,
,,,,,,368,0.00124131,,,,,,
,,,,,,369,-0.003555917,,,,,,
,,,,,,370,0.005280419,,,,,,
,,,,,,371,0.001420702,,,,,,
,,,,,,372,0.010301341,,,,,,
,,,,,,373,-0.022391473,,,,,,
,,,,,,374,-0.018387801,,,,,,
,,,,,,375,0.009751323,,,,,,
,,,,,,376,0.002626261,,,,,,
,,,,,,377,0.013753584,,,,,,
,,,,,,378,-0.005598936,,,,,,
,,,,,,379,-0.044297194,,,,,,
,,,,,,380,-0.003020158,,,,,,
,,,,,,381,0.026723108,,,,,,
,,,,,,382,-0.016765786,,,,,,
,,,,,,383,-0.012912944,,,,,,
,,,,,,384,-0.025961372,,,,,,
,,,,,,385,0.034090377,,,,,,
,,,,,,386,-0.037630066,,,,,,
,,,,,,387,0.00914531,,,,,,
,,,,,,388,0.016599365,,,,,,
,,,,,,389,0.027083268,,,,,,
,,,,,,390,0.028883372,,,,,,
,,,,,,391,-0.007042364,,,,,,
,,,,,,392,0.014907868,,,,,,
,,,,,,393,4.77913E-05,,,,,,
,,,,,,394,0.012060433,,,,,,
,,,,,,395,0.009058375,,,,,,
,,,,,,396,-0.017239131,,,,,,
,,,,,,397,-0.00332613,,,,,,
,,,,,,398,-0.010745266,,,,,,
,,,,,,399,0.012016213,,,,,,
,,,,,,400,0.007049704,,,,,,
,,,,,,401,0.005119264,,,,,,
,,,,,,402,-0.019139175,,,,,,
,,,,,,403,0.023246911,,,,,,
,,,,,,404,-0.006486896,,,,,,
,,,,,,405,-0.013376376,,,,,,
,,,,,,406,0.019670314,,,,,,
,,,,,,407,0.024954832,,,,,,
,,,,,,408,0.000223862,,,,,,
,,,,,,409,0.025891129,,,,,,
,,,,,,410,0.021760421,,,,,,
,,,,,,411,-0.02617776,,,,,,
,,,,,,412,-0.022654534,,,,,,
,,,,,,413,-0.004163494,,,,,,
